Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,BTech Sem-I (ICT + CS),,IT112,Introduction to Programming (Sec A),3-0-0-3,Core,SS,LT-2,,,,,,,,,EL111,Basic Electronic Circuits (Sec A),3-0-2-4,Core,RLD,LT-2,,,,,,,,,PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3
,,,IT112,Introduction to Programming (Sec B),3-0-0-3,Core,RC,LT-3,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,PK,LT-3,,,,,,,,,SC107,Calculus (Sec B),3-1-0-4,Core,AM2,LT-2
,BTech Sem-I (MnC),,,,,,,,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,MC112,Computer Organization and Programming,3-0-0-3,Core,NJ,CEP-104,,MC111,"Mathematical, Algorithmic, and Computational Thinking",3-1-0-4,Core,VS,CEP-104,,MC123,Discrete Mathematics,3-1-0-4,Core,SB2,CEP-104
,BTech Sem-I (EVD),,IT112,Introduction to Programming (Sec B),3-0-0-3,Core,RC,LT-3,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,PK,LT-3,,ED111,Engineering Mathematics I,3-1-0-4,Core,PK2,CEP-105,,,,,,,
,BTech Sem-III (ICT + CS),,SC223,Linear Algebra (Sec A),3-1-0-4,Core,MKG,CEP-110,,,,,,,,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec A),3-1-0-4,Core,PB,CEP-110
,,,SC223,Linear Algebra (Sec B),3-1-0-4,Core,MKR,CEP-102,,,,,,,,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec B),3-1-0-4,Core,RM,CEP-102
,BTech Sem-III (MnC),,MC213,Design and Analysis of Algorithms,3-1-0-4,Core,SP,CEP-105,,,,,,,,,MC212,Database Management Systems,3-0-2-4,Core,AKM,CEP-105,,,,,,,,,MC214,Operating Systems (along with IE411),3-0-2-4,Core,AMM,CEP-106
,BTech Sem-III (EVD),,,,,,,,,ED214,Electronic Design Lab,1-1-4-4,Core,BM,CEP-104 ,,,,,,,,,,,,,,,,ED212,Solid State Devices,3-0-2-4,Core,PK,CEP-105
,BTech Sem-V (ICT + CS),,EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108,,IT314,Software Engineering (Sec A),3-0-2-4,Core,ST,CEP-110,,IT304,Computer Networks (Sec A),3-0-2-4,Core,SS,CEP-110,,IE402,Optimization,3-0-2-4,ICT & Technical Elective,NKS,CEP-108
,,,EL467,Digital Programming,3-0-2-4,Technical Elective,YA,CEP-108,,IE417,Introduction to Embedded Artifical Intelligence,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-106,,CT303,Digital Communication (Sec B),3-0-2-4,Core,MK2,CEP-102,,IT304,Computer Networks (Sec B),3-0-2-4,Core,PKS,CEP-102,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective & RAS elective,VSP,CEP-204
,,,EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,,,,,,,,,,,,,,,,,,,,,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective & RAS elective,PA,LT-1
,,,EL312,Solid State Devices,3-0-0-3,Technical Elective,AKR,CEP-204,,,,,,,,,,,,,,,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective & RAS elective,MK,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE494,Big Data Processing,3-0-2-4,ICT & Technical Elective ,PMJ,CEP-209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (CS-Only),,,,,,,,,CS374,Computational and Numerical Methods,3-0-3-4.5,Core,PK2,CEP-205,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (MnC),,MC311,Mathematical Optimization,3-1-0-4,Core,NKS,CEP-202,,MC313,Algebraic Structures,3-1-0-4,Core,GD,CEP-202,,MC312,Modelling and Simulation,3-0-2-4,Core,MT,CEP-202,,MC314,Principles of Economics,3-0-0-3,Core,CJ,CEP-202,,IE403,Human Computer Interaction,3-0-2-4,MnC Elective,MK,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE494,Big Data Processing,3-0-2-4,ICT & Technical Elective ,PMJ,CEP-209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-VII (ICT + CS),,EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108,,HM484,Modern European Philosophy,3-0-0-3,HASSE,BK,CEP-106,,SC435,Introduction to Complex Network,3-0-0-3,Science Elective,MT,CEP-108,,IE402,Optimization,3-0-2-4,ICT & Technical Elective,NKS,CEP-108
,,,EL467,Digital Programming,3-0-2-4,Technical Elective,YA,CEP-108,,CT509,Next Generation Wireless Communication,3-0-2-4,Technical Elective,YV,CEP-103,,HM333,Human Behaviour Management,3-0-0-3,HASSE,NB,CEP-108,,SC478,Application of Statistics to Complex Systems,3-0-0-3,Science Elective,PR,CEP-103,,IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,CEP-106
,,,EL519,Low Power VLSI Design,2-0-2-3,Technical Elective,BM,CEP-205,,IT531,Advanced Computer Networks,3-0-2-4,Technical Elective,PKS,CEP-209,,HM403,Corporate Finance,3-0-0-3,HASSE,CJ,CEP-209,,,,,,,,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective & RAS elective,VSP,CEP-204
,,,EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,IE417,Introduction to Embedded Artifical Intelligence,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-106,,HM479,Satyajit Ray: Filmaker and Artist,3-0-0-3,HASSE,ANS,CEP-104,,,,,,,,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective & RAS elective,PA,LT-1
,,,EL312,Solid State Devices,3-0-0-3,Technical Elective,AKR,CEP-204,,IT594,Deep Neural NLP & Applications,3-0-2-4,Technical Elective,SDG,CEP-204,,HM404,Indian Society and Governance,2-1-0-3,HASSE,VM,CEP-103,,,,,,,,,IE494,Big Data Processing,3-0-2-4,ICT & Technical Elective & RAS elective,PMJ,CEP-209
,,,,,,,,,,,,,,,,,HM408,AI Ethics and Data Governance,3-0-0-3,HASSE,AD,CEP-204,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective & RAS elective,MK,CEP-103
,,,,,,,,,,,,,,,,,HM406,Migration and Transnational Identities,3-0-0-3,HASSE,RB,CEP-203,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,EL526,VLSI System Design,3-0-2-4,Technical Elective,YA,CEP-109,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CT549,Introduction to Wireless Communication,3-0-2-4,Technical Elective,AJ,CEP-107,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
