Dhirubhai Ambani University,,,,,,,,,,
Lecture Time-Table (Autumn '2025 - 26),,,,,,,,,,,
,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,
,BTech Sem-I (ICT + CS),PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3,,
,BTech Sem-I (ICT + CS),IT112,Introduction to Programming (Sec B),3-0-0-3,Core,SS,LT-2,,
,BTech Sem-I (MnC),PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3,,
,BTech Sem-I (EVD),ED111,Engineering Mathematics I,3-1-0-4,Core,NKS,CEP-204,,
,BTech Sem-III (ICT + CS),SC223,Linear Algebra (Sec A),3-1-0-4,Core,MKR,CEP-110,,
,BTech Sem-III (ICT + CS),SC223,Linear Algebra (Sec B),3-1-0-4,Core,PK2,CEP-102,,
,BTech Sem-III (MnC),,,,,,,,
,BTech Sem-III (EVD),,,,,,,,
,BTech Sem-V (ICT + CS),,,,,,,,
,BTech Sem-V (CS-Only),,,,,,,,
,BTech Sem-V (MnC),,,,,,,,
,BTech Sem-V (EVD),,,,,,,,
,BTech Sem-VII (ICT + CS),EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,
,BTech Sem-VII (MnC),,,,,,,,
,MTech Sem-I (ICT-SS),,,,,,,,
,MTech Sem-I (ICT-ML),,,,,,,,
,MTech Sem-I (ICT-VLSI&ES),,,,,,,,
,MTech Sem-I (ICT-WCSP),,,,,,,,
,MTech Sem-III (ICT-SS),,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),EL453,Nanoelectronics,3-0-0-3,VES Elective III/IV,RP,CEP-106,,
,MTech Sem-III (ICT-WCSP),,,,,,,,
,MSc Sem-I (IT),,,,,,,,
,MSc Sem-I (DS),,,,,,,,
,MSc Sem-III (IT),,,,,,,,
,MSc Sem-III (DS),,,,,,,,
,MSc Sem-I (AA),,,,,,,,
9:00 - 9:50,,,Slot-4,,,,,,,
,BTech Sem-I (ICT + CS),,,,,,,,
,BTech Sem-I (MnC),MC116,Digital Logic Design,1-0-2-2,Core,SK,CEP-104,,
,BTech Sem-I (EVD),ED112,Engineering Physics,3-0-2-4,Core,AR,CEP-103,,
,BTech Sem-III (ICT + CS),IT227,Computer Systems Programming (Sec A),3-0-2-4,Core,SB,CEP-102,,
,BTech Sem-III (ICT + CS),IT227,Computer Systems Programming (Sec B),3-0-2-4,Core,AKM,CEP-110,,
,BTech Sem-III (MnC),MC216,Probability and Random Processes,3-1-0-4,Core,SCN,CEP-105,,
,BTech Sem-III (EVD),ED213,Signal Processing and Control Systems,3-0-2-4,Core,HP,CEP-107,,
,BTech Sem-V (ICT + CS),CT303,Digital Communication (Sec A),3-0-2-4,Core,MK2,LT-1,,
,BTech Sem-V (ICT + CS),CT303,Digital Communication (Sec B),3-0-2-4,Core,AJ,LT-2,,
,BTech Sem-V (CS-Only),,,,,,,,
,BTech Sem-V (MnC),SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106,,
,BTech Sem-V (EVD),EL505,VLSI Circuit for DSP,3-0-2-4,Specialization Elective-2,BM,CEP-203,,
,BTech Sem-VII (ICT + CS),SC404,Advanced Matrix Theory,3-0-0-3,Science Elective,AM2,CEP-106,,
,BTech Sem-VII (MnC),SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106,,
,MTech Sem-I (ICT-SS),IT582,Foundations of Machine Learning,3-0-2-4,General Elective (Technical),MVJ,CEP-205,,
,MTech Sem-I (ICT-ML),IT582,Foundations of Machine Learning,3-0-2-4,ML Sp. Core,MVJ,CEP-205,,
,MTech Sem-I (ICT-VLSI&ES),EL526,VLSI System Design,3-0-2-4,VES Sp. Core,YA,CEP-108,,
,MTech Sem-I (ICT-WCSP),IT582,Foundations of Machine Learning,3-0-2-4,WCSP General Elective (Technical),MVJ,CEP-205,,
,MTech Sem-III (ICT-SS),,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),,,,,,,,
,MTech Sem-III (ICT-WCSP),,,,,,,,
,MSc Sem-I (IT),IT623,Data Structures,3-0-2-4,Core,SP,CEP-207,,
,MSc Sem-I (DS),DS602,Statistical Methods,3-0-2-4,Core,TB,LAB A-SF,,
,MSc Sem-III (IT),IT643,Software Design and Testing,3-0-2-4,Core,AC,CEP-209,,
,MSc Sem-III (DS),DS635,Machine Learning Systems Engineering,3-0-2-4,Core,TBD,LAB A-SF,,
,MSc Sem-I (AA),MA611,Fundamentals of Python Programming and SQL,3-0-2-4,Core,DG1,CEP-211,,
10:00 - 10:50,,,Slot-1,,,,,,,
,BTech Sem-I (ICT + CS),IC101,Introduction to ICT (Sec A),1-0-2-2,Core,AR3/VSP/SK,LT-2,,
,BTech Sem-I (MnC),,,,,,,,
,BTech Sem-I (EVD),ED111,Engineering Mathematics I,3-1-0-4,Core,NKS,CEP-204,,
,BTech Sem-III (ICT + CS),,,,,,,,
,BTech Sem-III (MnC),,,,,,,,
,BTech Sem-III (EVD),,,,,,,,
,BTech Sem-V (ICT + CS),,,,,,,,
,BTech Sem-V (CS-Only),,,,,,,,
,BTech Sem-V (MnC),,,,,,,,
,BTech Sem-V (EVD),,,,,,,,
,BTech Sem-VII (ICT + CS),HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108,,
,BTech Sem-VII (MnC),HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108,,
,MTech Sem-I (ICT-SS),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-I (ICT-ML),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-I (ICT-VLSI&ES),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-I (ICT-WCSP),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-III (ICT-SS),,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),,,,,,,,
,MTech Sem-III (ICT-WCSP),,,,,,,,
,MSc Sem-I (IT),,,,,,,,
,MSc Sem-I (DS),DS601,Mathematical Foundation for Data Science,3-1-0-4,Core,PA,LAB A-SF,,
,MSc Sem-III (IT),IT462,Exploratory Data Analysis,3-0-2-4,Technical Elective,GP,CEP-204,,
,MSc Sem-III (DS),IT524,Computer Vision,3-0-2-4,Technical Elective,MVJ,CEP-108,,
,MSc Sem-I (AA),MA612,Fundamentals of Analytics / Statistical Methods,3-0-2-4,Core,GP,CEP-211,,
11:00 - 11:50,,,Slot-7,,,,,,,
,BTech Sem-I (ICT + CS),,,,,,,,
,BTech Sem-I (MnC),,,,,,,,
,BTech Sem-I (EVD),,,,,,,,
,BTech Sem-III (ICT + CS),SC223,Linear Algebra (Sec A),3-1-0-4,Core,MKR,CEP-110,,
,BTech Sem-III (MnC),MC213,Design and Analysis of Algorithms,3-1-0-4,Core,SP,CEP-105,,
,BTech Sem-III (EVD),,,,,,,,
,BTech Sem-V (ICT + CS),,,,,,,,
,BTech Sem-V (CS-Only),CS374,Computational and Numerical Methods,3-0-3-4.5,Core,PK2,CEP-104,,
,BTech Sem-V (MnC),MC311,Mathematical Optimization,3-1-0-4,Core,AT,CEP-202,,
,BTech Sem-V (EVD),EL470,Printed and Flexible Electronics,3-0-2-4,Open Elective,AB,CEP-104,,
,BTech Sem-VII (ICT + CS),EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,
,BTech Sem-VII (MnC),,,,,,,,
,MTech Sem-I (ICT-SS),IT457,Cloud Computing,3-0-2-4,SS General Elective (Technical),PKS,CEP-209,,
,MTech Sem-I (ICT-ML),IT457,Cloud Computing,3-0-2-4,ML General Elective (Technical),PKS,CEP-209,,
