Dhirubhai Ambani University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2025 - 26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-Free,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,BTech Sem-I (ICT + CS),,,,,,,,,PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3,,IC101,Introduction to ICT (Sec A),1-0-2-2,Core,AR3/VSP/SK,LT-2,,IT112,Introduction to Programming (Sec A),3-0-0-3,Core,RC,LT-2,,SC107,Calculus (Sec A),3-1-0-4,Core,AM2,LT-3
,,,,,,,,,,IT112,Introduction to Programming (Sec B),3-0-0-3,Core,SS,LT-2,,IC101,Introduction to ICT (Sec B),1-0-2-2,Core,AR3/VSP/SK,LT-3,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,SC107,Calculus (Sec B),3-1-0-4,Core,SB2,LT-2
,BTech Sem-I (MnC),,,,,,,,,PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3,,,,,,,,,MC111,"Mathematical, Algorithmic, and Computational Thinking",3-1-0-4,Core,VS,CEP-105,,,,,,,
,BTech Sem-I (EVD),,ED111,Engineering Mathematics I,3-1-0-4,Core,NKS,CEP-204,,IT112,Introduction to Programming (Sec B),3-0-0-3,Core,SS,LT-2,,,,,,,,,PC110,Language and Literature (Sec B),3-0-0-3,Core,AM,LT-3,,,,,,,
,BTech Sem-III (ICT + CS),,SC223,Linear Algebra (Sec A),3-1-0-4,Core,MKR,CEP-110,,,,,,,,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec A),3-1-0-4,Core,PB,CEP-110
,,,SC223,Linear Algebra (Sec B),3-1-0-4,Core,PK2,CEP-102,,,,,,,,,,,,,,,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec B),3-1-0-4,Core,RM,CEP-102
,BTech Sem-III (MnC),,MC213,Design and Analysis of Algorithms,3-1-0-4,Core,SP,CEP-105,,MC212,Database Management Systems,3-0-2-4,Core,MB,CEP-105,,,,,,,,,,,,,,,,MC214,Operating Systems (along with IE411),3-0-2-4,Core,AMM,CEP-106
,BTech Sem-III (EVD),,,,,,,,,ED211,Engineering Mathematics III,3-1-0-4,Core,YV,CEP-103,,,,,,,,,ED214,Electronic Design Lab,1-1-4-4,Core,BM,CEP-104 ,,ED212,Solid State Devices,3-0-2-4,Core,PK,CEP-105
,BTech Sem-V (ICT + CS),,,,,,,,,,,,,,,,IT314,Software Engineering (Sec A),3-0-2-4,Core,ST,CEP-110,,IT304,Computer Networks (Sec A),3-0-2-4,Core,SS,CEP-110,,IE420,Real-time Embedded Software,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-107
,,,EL526,VLSI System Design,3-0-2-4,Technical Elective,YA,CEP-108,,IT314,Software Engineering (Sec B),3-0-2-4,Core,ST,CEP-102,,,,,,,,,IT304,Computer Networks (Sec B),3-0-2-4,Core,MC,CEP-102,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective (RAS minor),VSP,CEP-204
